"","x"
"1",0
"2",3
"3",3
"4",0
"5",0
"6",2
"7",0
"8",2
"9",1
"10",2
"11",0
"12",2
"13",4
"14",3
"15",1
"16",1
"17",3
"18",9
"19",11
"20",1
"21",3
"22",3
"23",0
"24",1
"25",3
"26",2
"27",1
"28",5
"29",0
"30",1
"31",5
"32",5
"33",5
"34",7
"35",1
"36",2
"37",1
"38",1
"39",4
"40",0
"41",5
"42",0
"43",2
"44",1
"45",6
"46",1
"47",5
"48",6
"49",3
"50",5
"51",6
"52",5
"53",10
"54",7
"55",19
"56",27
"57",48
"58",17
"59",44
"60",39
"61",30
"62",24
"63",43
"64",66
"65",42
"66",80
"67",41
"68",32
"69",51
"70",37
"71",43
"72",17
"73",28
"74",24
"75",21
"76",25
"77",13
"78",16
"79",11
"80",4
"81",5
"82",3
"83",5
"84",0
"85",4
"86",3
"87",1
"88",0
"89",4
"90",4
"91",2
"92",0
"93",2
"94",0
"95",0
"96",0
"97",0
"98",0
"99",2
"100",0
"101",0
"102",1
"103",0
"104",0
"105",4
"106",0
"107",0
"108",3
"109",0
"110",0
"111",3
"112",1
"113",1
"114",0
"115",3
"116",0
"117",0
"118",0
"119",0
"120",10
"121",0
"122",0
"123",0
"124",0
"125",1
"126",0
"127",13
"128",3
"129",2
"130",3
"131",6
"132",0
"133",6
"134",3
"135",3
"136",1
"137",1
"138",0
"139",0
"140",0
"141",1
"142",1
"143",0
"144",3
"145",0
"146",8
"147",4
"148",0
"149",4
"150",3
"151",30
"152",16
"153",2
"154",14
"155",3
"156",1
"157",2
"158",4
"159",2
"160",28
"161",9
"162",5
"163",11
"164",10
"165",17
"166",14
"167",24
"168",42
"169",0
"170",66
"171",38
"172",0
"173",100
"174",19
"175",67
"176",0
"177",0
"178",0
"179",0
"180",0
"181",476
"182",118
"183",123
"184",133
"185",128
"186",145
"187",106
"188",118
"189",149
"190",121
"191",124
"192",115
"193",78
"194",80
"195",85
"196",95
"197",89
"198",69
"199",72
"200",69
"201",33
"202",62
"203",69
"204",48
"205",46
"206",74
"207",44
"208",36
"209",26
"210",18
"211",27
"212",26
"213",25
"214",9
"215",19
"216",24
"217",21
"218",13
"219",18
"220",15
"221",9
"222",12
"223",8
"224",8
"225",12
"226",7
"227",21
"228",11
"229",6
"230",6
"231",12
"232",12
"233",13
"234",19
"235",14
"236",4
"237",9
"238",9
"239",3
"240",13
"241",23
"242",6
"243",8
"244",3
"245",7
"246",2
"247",1
"248",6
"249",10
"250",4
"251",8
"252",10
"253",7
"254",4
"255",5
"256",11
"257",8
"258",11
"259",18
"260",8
"261",6
"262",7
"263",11
"264",8
"265",0
"266",12
"267",7
"268",17
"269",4
"270",15
"271",5
"272",8
"273",11
"274",4
"275",5
"276",6
"277",8
"278",5
"279",2
"280",3
"281",7
"282",3
"283",7
"284",6
"285",9
"286",3
"287",7
"288",6
"289",3
"290",10
"291",6
"292",9
"293",18
"294",23
"295",6
"296",8
"297",14
"298",8
"299",4
"300",9
"301",12
"302",26
"303",43
"304",68
"305",73
"306",80
"307",85
"308",81
"309",92
"310",84
"311",115
"312",76
"313",82
"314",103
"315",90
"316",112
"317",101
"318",95
"319",78
"320",100
"321",104
"322",112
"323",86
"324",69
"325",95
"326",82
"327",98
"328",82
"329",96
"330",70
"331",109
"332",74
"333",85
"334",63
"335",53
"336",71
"337",57
"338",59
"339",70
"340",61
"341",53
"342",54
"343",68
